,Y2023
Afghanistan,363000.0
Albania,409115.9
Algeria,12000.0
Angola,3214698.0
Antigua and Barbuda,51.69
Azerbaijan,287001.3
Argentina,41409448.0
Australia,386502.0
Austria,2105060.0
Bahamas,603.81
Bahrain,0.0
Bangladesh,4592507.0
Armenia,6485.8
Barbados,42.6
Belgium,517490.0
"Micronesia, Fed. Sts.",90.45
Bhutan,25118.22
Bolivia,1117135.98
Bosnia and Herzegovina,716676.0
Botswana,32740.39
Brazil,131949711.0
Belize,112411.0
Solomon Islands,0.0
Brunei Darussalam,0.0
Bulgaria,2448780.0
Myanmar,2200000.0
Burundi,602629.0
Belarus,1000000.0
Cambodia,1513000.0
Cameroon,2200000.0
Canada,15420909.0
Cabo Verde,464.0
Central African Republic,220815.0
Sri Lanka,221249.0
Chad,354241.0
Chile,543126.02
China,288842300.0
Taiwan,223381.0
Colombia,1725773.0
Comoros,19750.9
Congo Republic,13000.0
DR Congo,2335599.0
Cook Islands,0.0
Costa Rica,7321.0
Croatia,1991270.0
Cuba,149919.0
Cyprus,0.0
Czechia,507540.0
Benin,2059254.0
Denmark,40820.0
Dominica,193.66
Dominican Republic,81635.05
Ecuador,1413382.16
El Salvador,770000.0
Equatorial Guinea,0.0
Ethiopia,11512342.95
Eritrea,20000.0
Estonia,0.0
Faroe Islands,0.0
Fiji,2005.6
Finland,0.0
France,12834600.0
French Polynesia,0.0
Djibouti,17.31
Gabon,46049.57
Georgia,190900.0
Gambia,21220.0
Palestine,0.0
Germany,4498900.0
Ghana,3579000.0
Kiribati,0.0
Greece,1416690.0
Grenada,389.98
Guatemala,2080000.0
Guinea,982000.0
Guyana,4000.0
Haiti,180000.0
Honduras,727272.73
Hong Kong,0.0
Hungary,6242410.0
Iceland,0.0
India,36656692.78
Indonesia,14774433.0
Iran,253545.98
Iraq,538251.0
Ireland,0.0
Israel,51410.0
Italy,5348700.0
Cote d'Ivoire,1416232.0
Jamaica,2291.0
Japan,169.57
Kazakhstan,1189083.0
Jordan,0.0
Kenya,4285206.0
North Korea,2300000.0
South Korea,91000.0
Kuwait,26220.0
Kyrgyz Republic,799936.0
Laos,458483.0
Lebanon,3000.0
Lesotho,126994.0
Latvia,0.0
Liberia,0.0
Libya,3966.28
Lithuania,91330.0
Luxembourg,950.0
Macau,0.0
Madagascar,268062.0
Malawi,3509837.0
Malaysia,568.0
Maldives,147.16
Mali,3386941.0
Malta,0.0
Mauritania,17000.0
Mauritius,1501.5
Mexico,27549917.53
Mongolia,0.0
Moldova,1351477.0
Montenegro,3166.3
Morocco,10834.4
Mozambique,2124749.0
Oman,2438.0
Namibia,73902.0
Nauru,0.0
Nepal,2976490.04
Netherlands,151930.0
New Caledonia,3601.14
Vanuatu,983.57
New Zealand,192504.0
Nicaragua,355855.63
Niger,43379.94
Nigeria,11053000.0
Niue,0.0
Norway,0.0
"Micronesia, Fed. Sts.",90.45
Marshall Islands,0.0
Pakistan,9739524.0
Panama,94100.0
Papua New Guinea,12912.36
Paraguay,4491550.0
Peru,1642766.07
Philippines,8405004.29
Poland,8981890.0
Portugal,767210.0
Guinea-Bissau,21000.0
Timor-Leste,85000.0
Puerto Rico,341.07
Qatar,2014.0
Romania,8744000.0
Russia,15000000.0
Rwanda,508491.97
St. Kitts and Nevis,0.0
St. Lucia,0.0
St. Vincent and the Grenadines,633.0
Sao Tome and Principe,786.98
Saudi Arabia,63721.51
Senegal,855033.0
Serbia,6630984.0
Seychelles,0.0
Sierra Leone,25294.0
Singapore,0.0
Slovakia,1105660.0
Vietnam,4437218.65
Slovenia,389030.0
Somalia,95000.0
South Africa,16430000.0
Zimbabwe,1020934.0
Spain,2835360.0
South Sudan,141000.0
Sudan,23938.93
Suriname,105.0
Eswatini,85202.0
Sweden,15700.0
Switzerland,135314.0
Syria,562563.0
Tajikistan,200000.0
Thailand,4614006.0
Togo,1013000.0
Tonga,0.0
Trinidad and Tobago,0.0
United Arab Emirates,19133.0
Tunisia,0.0
TÃ¼rkiye,9000000.0
Turkmenistan,4393.3
Tuvalu,0.0
Uganda,4945000.0
Ukraine,31030440.0
North Macedonia,133176.0
Egypt,7446859.0
United Kingdom,0.0
Tanzania,8010949.0
United States,389694460.0
Burkina Faso,1995359.46
Uruguay,265900.0
Uzbekistan,781413.67
Venezuela,2759286.0
Samoa,0.0
Yemen,60000.0
Zambia,3261685.68
