,Y2023
Afghanistan,597000.0
Albania,0.0
Algeria,312.58
Angola,39830.0
Antigua and Barbuda,0.0
Azerbaijan,13972.5
Argentina,1163209.0
Australia,496633.0
Austria,0.0
Bahamas,0.0
Bahrain,0.0
Bangladesh,60601180.62
Armenia,0.0
Barbados,0.0
Belgium,0.0
"Micronesia, Fed. Sts.",181.54
Bhutan,40804.01
Bolivia,698543.58
Bosnia and Herzegovina,0.0
Botswana,0.0
Brazil,10285663.0
Belize,17701.0
Solomon Islands,2751.39
Brunei Darussalam,3726.0
Bulgaria,64160.0
Myanmar,25650000.0
Burundi,125000.0
Belarus,0.0
Cambodia,13186400.0
Cameroon,340791.94
Canada,0.0
Cabo Verde,0.0
Central African Republic,53326.0
Sri Lanka,4513431.0
Chad,223952.0
Chile,109232.5
China,206603200.0
Taiwan,1460374.0
Colombia,3006100.0
Comoros,5.0
Congo Republic,1000.0
DR Congo,1812345.0
Cook Islands,0.0
Costa Rica,76119.0
Croatia,0.0
Cuba,58766.0
Cyprus,0.0
Czechia,0.0
Benin,492626.2
Denmark,0.0
Dominica,0.0
Dominican Republic,925600.0
Ecuador,1313000.0
El Salvador,11000.0
Equatorial Guinea,0.0
Ethiopia,279095.37
Eritrea,0.0
Estonia,0.0
Faroe Islands,0.0
Fiji,7165.4
Finland,0.0
France,68270.0
French Polynesia,0.0
Djibouti,0.0
Gabon,1768.27
Georgia,0.0
Gambia,47410.0
Palestine,0.0
Germany,0.0
Ghana,1443000.0
Kiribati,0.0
Greece,190440.0
Grenada,0.0
Guatemala,51184.0
Guinea,3534800.0
Guyana,1005700.0
Haiti,136000.0
Honduras,34092.04
Hong Kong,0.0
Hungary,8330.0
Iceland,0.0
India,207753551.26
Indonesia,53980993.0
Iran,3485600.0
Iraq,12602.0
Ireland,0.0
Israel,0.0
Italy,1378640.0
Cote d'Ivoire,2011500.0
Jamaica,0.0
Japan,10136000.0
Kazakhstan,485183.0
Jordan,0.0
Kenya,229064.0
North Korea,2150000.0
South Korea,4897839.0
Kuwait,0.0
Kyrgyz Republic,46765.0
Laos,3900200.0
Lebanon,0.0
Lesotho,0.0
Latvia,0.0
Liberia,324000.0
Libya,0.0
Lithuania,0.0
Luxembourg,0.0
Macau,0.0
Madagascar,5117636.0
Malawi,124300.0
Malaysia,2175149.0
Maldives,0.0
Mali,3023891.0
Malta,0.0
Mauritania,470500.0
Mauritius,0.0
Mexico,252099.88
Mongolia,0.0
Moldova,0.0
Montenegro,0.0
Morocco,56222.0
Mozambique,161920.0
Oman,0.0
Namibia,0.0
Nauru,0.0
Nepal,5724234.0
Netherlands,0.0
New Caledonia,0.0
Vanuatu,0.0
New Zealand,0.0
Nicaragua,498969.09
Niger,142592.0
Nigeria,8902200.0
Niue,0.0
Norway,0.0
"Micronesia, Fed. Sts.",181.54
Marshall Islands,0.0
Pakistan,14788853.0
Panama,397000.0
Papua New Guinea,879.73
Paraguay,978450.0
Peru,3402367.71
Philippines,20059561.96
Poland,0.0
Portugal,178830.0
Guinea-Bissau,226400.0
Timor-Leste,83000.0
Puerto Rico,3630.17
Qatar,0.0
Romania,12070.0
Russia,1073000.0
Rwanda,133628.01
St. Kitts and Nevis,0.0
St. Lucia,0.0
St. Vincent and the Grenadines,0.0
Sao Tome and Principe,0.0
Saudi Arabia,907.59
Senegal,1519700.0
Serbia,0.0
Seychelles,0.0
Sierra Leone,1315400.0
Singapore,0.0
Slovakia,0.0
Vietnam,43497624.81
Slovenia,0.0
Somalia,2000.0
South Africa,3081.75
Zimbabwe,539.0
Spain,334100.0
South Sudan,33000.0
Sudan,21880.0
Suriname,228888.0
Eswatini,1000.0
Sweden,0.0
Switzerland,0.0
Syria,0.0
Tajikistan,161853.0
Thailand,33851579.48
Togo,183100.0
'772,0.0
Tonga,0.0
Trinidad and Tobago,326.0
United Arab Emirates,0.0
Tunisia,0.0
TÃ¼rkiye,900000.0
Turkmenistan,86616.7
Tuvalu,0.0
Uganda,365000.0
Ukraine,11080.0
North Macedonia,19997.0
Egypt,6228827.0
United Kingdom,0.0
Tanzania,3588000.0
United States,9901510.0
Burkina Faso,504254.0
Uruguay,1372700.0
Uzbekistan,355674.49
Venezuela,618625.0
Samoa,0.0
Yemen,0.0
Zambia,62679.81
