country,calorie_weighted_total_change_pct,calorie_weighted_climate_only_change_pct,calorie_weighted_irrigation_loss_pct,wheat_total_change_pct,wheat_climate_only_pct,wheat_irrigation_loss_pct,wheat_baseline_production_mt,wheat_collapsed_production_mt,rice_total_change_pct,rice_climate_only_pct,rice_irrigation_loss_pct,rice_baseline_production_mt,rice_collapsed_production_mt,maize_total_change_pct,maize_climate_only_pct,maize_irrigation_loss_pct,maize_baseline_production_mt,maize_collapsed_production_mt
Norway,-39.13,-39.13,0.0,-39.13,-39.13,0.0,0.22,0.13,,,,,,,,,,
Eritrea,-38.1,-38.1,0.0,-40.75,-40.75,0.0,0.04,0.02,,,,,,-32.98,-32.98,0.0,0.02,0.01
Sweden,-35.23,-35.23,0.0,-35.2,-35.2,0.0,1.87,1.21,,,,,,-71.21,-71.21,0.0,0.0,0.0
Finland,-34.04,-34.04,0.0,-34.04,-34.04,0.0,0.5,0.33,,,,,,,,,,
Mongolia,-29.35,-28.6,-0.75,-29.53,-28.78,-0.75,0.55,0.38,,,,,,1275.65,1282.63,-6.98,0.0,0.0
Switzerland,-26.64,-26.64,-0.0,-24.27,-24.27,0.0,0.52,0.39,-14.65,-14.65,0.0,0.0,0.0,-34.78,-34.76,-0.02,0.14,0.09
Kyrgyzstan,-22.67,-20.3,-2.37,-25.12,-23.63,-1.49,0.67,0.5,-33.05,-29.2,-3.85,0.02,0.01,-17.02,-12.86,-4.16,0.3,0.25
Estonia,-21.38,-21.38,0.0,-21.38,-21.38,0.0,0.49,0.39,,,,,,,,,,
Senegal,-21.34,-1.83,-19.51,,,,,,-22.92,0.28,-23.2,2.15,1.65,-13.63,-12.08,-1.55,0.35,0.3
Latvia,-19.97,-19.97,-0.0,-19.93,-19.93,-0.0,1.56,1.25,,,,,,-74.33,-74.33,0.0,0.0,0.0
Germany,-19.29,-19.26,-0.03,-15.4,-15.4,-0.0,16.03,13.56,,,,,,-35.73,-35.59,-0.14,3.56,2.29
Niger,-18.33,-16.39,-1.94,-17.57,8.1,-25.67,0.0,0.0,-21.39,-20.16,-1.24,0.07,0.06,-13.52,-12.81,-0.71,0.04,0.03
