country,maize_total_change_pct
Eritrea,-34.17
Sweden,-78.65
Niger,-25.2
Mongolia,763.29
Switzerland,-34.99
Senegal,-20.85
Moldova,-24.14
Kyrgyzstan,-18.29
Belgium,-54.27
Ukraine,-24.47
Germany,-35.95
Czechia,-15.75
Denmark,-58.82
Bosnia and Herz.,-23.14
Latvia,-37.33
Armenia,8.99
Iran,-13.34
Russia,-28.68
Belarus,-25.16
Poland,-15.1
Romania,-15.85
Austria,-19.45
India,-21.73
China,-24.02
Nicaragua,-15.88
United Arab Emirates,-15.92
Dominican Rep.,-14.9
Lithuania,-57.9
Canada,-32.26
Bulgaria,-14.56
Slovakia,-5.14
North Korea,-18.6
Netherlands,-45.21
Serbia,-14.76
Turkey,-0.06
Georgia,-9.61
Venezuela,-14.93
Oman,-46.84
Kazakhstan,-5.24
Pakistan,-18.08
Hungary,-8.17
Afghanistan,-12.78
Australia,-2.75
Turkmenistan,3.42
Uzbekistan,0.98
Croatia,-9.58
Botswana,-9.73
Tajikistan,-4.94
Honduras,-9.0
Iraq,-9.07
Spain,-4.38
Albania,-12.0
Somaliland,-9.11
Portugal,-7.53
United States of America,-7.8
Slovenia,-4.65
France,-15.5
Mauritania,-37.2
El Salvador,-7.18
Morocco,-26.97
Sudan,-14.16
Malawi,-7.01
New Caledonia,-6.39
Zimbabwe,-6.91
Liberia,-5.37
Nepal,-0.43
Myanmar,-0.25
Kuwait,-8.0
Zambia,-5.65
Mali,-1.53
North Macedonia,1.76
Syria,-3.76
Montenegro,-6.06
Chile,0.67
Jamaica,-4.54
Paraguay,-5.76
Haiti,-1.17
Greece,-3.41
Mozambique,-4.18
Argentina,-3.65
Kosovo,2.26
Azerbaijan,1.21
Cameroon,-2.67
Italy,-4.9
Ethiopia,-3.45
Uruguay,-4.68
Japan,3.58
Papua New Guinea,-1.89
Suriname,-7.76
Togo,-1.59
Jordan,-17.36
Sierra Leone,-2.83
Eq. Guinea,-1.69
Chad,-4.73
Burkina Faso,-3.07
Ghana,-1.16
Algeria,-3.21
Tanzania,-1.78
South Africa,-0.94
Palestine,-1.42
Burundi,-1.13
Nigeria,-1.55
Lesotho,-0.07
Côte d'Ivoire,0.1
Guinea-Bissau,5.86
Angola,-0.79
Madagascar,0.35
Cambodia,0.44
Benin,-1.0
Uganda,-0.78
Gambia,12.29
Kenya,0.26
Mexico,-0.28
Sri Lanka,-2.5
Dem. Rep. Congo,0.83
Indonesia,0.87
Philippines,1.85
Guyana,0.89
Laos,1.14
Timor-Leste,2.62
Central African Rep.,0.65
Bangladesh,-5.29
Colombia,1.0
Brazil,0.96
Yemen,-2.75
Bolivia,1.71
Belize,2.21
Guinea,-0.4
Rwanda,2.38
Peru,1.91
Libya,-37.75
eSwatini,1.58
Thailand,-0.62
Vietnam,-0.05
Lebanon,2.15
Ecuador,2.82
Costa Rica,2.11
Panama,4.44
Guatemala,3.12
Congo,4.35
South Korea,12.47
Gabon,3.91
Namibia,3.98
Malaysia,10.18
Taiwan,2.9
Cuba,8.51
Brunei,7.28
New Zealand,3.18
Bhutan,-1.29
Egypt,0.5
Israel,-57.97
Qatar,10.82
Saudi Arabia,10.16
