,0
Afghanistan,-77.02161294092423
Albania,-98.38649895191193
Angola,-39.000849711531785
Argentina,-67.50708492100239
Australia,-73.16837853789329
Austria,-100.0
Azerbaijan,-98.90355018556117
Bangladesh,-34.94658467188477
Belarus,-100.0
Belgium,-100.0
Belize,-43.891736315786844
Benin,-3.8648684122227106
Bhutan,-66.99427241176367
Bolivia,-59.66160926222801
Bosnia and Herzegovina,-100.0
Botswana,-30.64
Brazil,-45.97290287971496
Bulgaria,-100.0
Burkina Faso,-2.2657374371960692
Burundi,-46.85181017404629
Cambodia,-56.757251024246216
Cameroon,-22.34138430893421
Canada,-100.0
Central African Republic,-20.530000000000005
Chad,-8.090614728862422
Chile,-35.58314022660255
China,-86.17525172054768
Colombia,-35.83602727547288
Costa Rica,-26.628226774930962
Cote d'Ivoire,-10.675162611156708
Croatia,-100.0
Cuba,17.828419342469417
Czechia,-100.0
DR Congo,-31.21778785368661
Dominican Republic,57.07377832392231
Timor-Leste,-21.08598479747772
Ecuador,-17.103419839739797
Egypt,-70.56867386221886
El Salvador,-21.87700704634189
Eritrea,7.141904528737064
Ethiopia,-53.671711704134935
France,-99.99464747726917
Gabon,-6.724845524625844
Gambia,-12.275892517566689
Georgia,-100.0
Germany,-100.0
Ghana,-10.174133300781252
Greece,-92.74987127363681
Guatemala,-7.7741914868354804
Guinea,-16.664793203398588
Guinea-Bissau,-17.24
Haiti,129.05205388809088
Honduras,4.751327994130539
Hungary,-100.0
India,-32.073427747189996
Indonesia,-38.72815203338862
Iran,-71.86787531793118
Iraq,-41.38999830633402
Israel,-86.72199459731578
Italy,-98.91873984366656
Kazakhstan,-98.54587217748166
Kenya,-22.006735469847925
Kyrgyz Republic,-99.88347909212114
Laos,-68.03326138496399
Lesotho,-74.87657605663406
North Macedonia,-100.0
Madagascar,-25.66440844986587
Malawi,-53.8996479165554
Malaysia,-75.76461531996728
Mali,-41.445251083075995
Mauritania,-67.31
Mexico,-60.63692606568336
Moldova,-100.0
Montenegro,-100.0
Morocco,-30.18410434856079
Mozambique,-14.238956501409405
Myanmar,-68.43663973927498
Namibia,-62.88
Nepal,-69.44613279253244
Netherlands,-100.0
New Zealand,-98.93916365385056
Nicaragua,-4.81488740071655
Nigeria,-16.69481037423015
North Korea,-100.0
Pakistan,-46.842878011167045
Panama,-4.245576483011249
Paraguay,-50.40838795304299
Peru,-50.54781166747213
Philippines,-16.111865396499635
Poland,-100.0
Portugal,-89.09040146291257
Romania,-100.0
Russia,-100.0
Rwanda,-66.98068593740463
Saudi Arabia,-25.556125140190133
Senegal,-10.443444932103152
Serbia,-100.0
Sierra Leone,-4.020000000000001
Slovakia,-100.0
Slovenia,-100.0
Somalia,64.41721015349032
South Africa,-77.05563461482525
South Korea,-100.0
Spain,-98.43336694717408
Sri Lanka,-17.733599018901593
Eswatini,-46.08328370213509
Switzerland,-100.0
Syria,-51.370459079742425
Tajikistan,-98.82530321598053
Tanzania,-27.862528050504622
Thailand,-44.05932761877774
Togo,-5.10301969954744
Türkiye,-92.77163501381874
Turkmenistan,-55.779999999999994
Uganda,-54.367637882232664
Ukraine,-99.9865002655983
United States,-93.1834047371149
Uruguay,-36.59363109573722
Uzbekistan,-80.05522268652916
Venezuela,-28.53009454905987
Vietnam,-56.488330432772635
Yemen,-3.0115366107225316
Zambia,-59.93869214385747
Zimbabwe,-26.590245292261237
