,0
Afghanistan,-77.71250884197653
Argentina,-71.0049435648322
Australia,-93.25789925634861
Bangladesh,-33.0649794960022
Belize,-36.87585243225098
Benin,15.08679610386492
Bhutan,-92.51948189064862
Bolivia,-36.12146534111351
Brazil,-36.29512935340404
Bulgaria,-66.96196538150309
Burkina Faso,74.03367900930344
Burundi,-69.11370189189911
Cambodia,-51.79330925941468
Cameroon,6.733593890219924
Chad,117.87999999999998
Chile,-75.39174392551183
China,-92.77698901057244
Colombia,-34.27892634153367
Costa Rica,33.765100942552095
Cote d'Ivoire,21.040707277990876
Cuba,-20.118729110434643
DR Congo,-31.679999999999996
Dominican Republic,28.489284898638733
Timor-Leste,-47.03705337941646
Ecuador,-51.66542671203614
Egypt,-82.64708604812623
El Salvador,-53.238886301517496
French Guiana,-2.6905640465766156
Gambia,-66.31814132332804
Ghana,0.7349039027094939
Greece,6.830799393057818
Guatemala,-22.85634072899818
Guinea,33.87480593309738
Guinea-Bissau,-5.209036350250241
Guyana,30.152465196251875
Haiti,128.21589223671702
Honduras,-37.91155916810036
India,-43.45429383456707
Indonesia,-37.922768695652486
Iran,-73.23297287896276
Iraq,-81.97611610800028
Italy,-77.56005869388581
Japan,-90.87243193447591
Kenya,-40.34668081253767
Kyrgyz Republic,-99.13758070379495
Laos,-81.09786094278097
Liberia,8.899999999999997
North Macedonia,-11.522747135162358
Madagascar,-55.413602023720735
Malawi,-61.90114830330013
Malaysia,-25.069044304490095
Mali,24.996542345732454
Mauritania,-37.00552458882333
Mexico,-80.37349341511725
Morocco,-97.22137296557426
Mozambique,-44.2758484880696
Myanmar,-82.01488266140223
Nepal,-46.21752371788025
Nicaragua,-42.55141234308481
Nigeria,33.4751076387614
North Korea,-99.89552236761898
Pakistan,-51.07338231801988
Panama,125.14325958080587
Paraguay,-67.40628700047732
Peru,-64.15882124423982
Philippines,-14.903948668390509
Portugal,-21.686306290626533
Russia,-100.0
Rwanda,-90.85069787859916
Senegal,-16.146761808395393
Sierra Leone,14.782370787113909
South Korea,-94.27549758195877
Spain,-63.020159566402434
Sri Lanka,-24.688187978267674
Suriname,68.41071306556464
Tajikistan,-92.6916693687439
Tanzania,-72.42879024177789
Thailand,-61.285245036482806
Togo,-21.28469037473202
Türkiye,-82.73248445987701
Turkmenistan,-99.63
Uganda,-23.856485002487894
United States,-93.09296082019806
Uruguay,-73.80179948568343
Uzbekistan,-99.992050357908
Venezuela,8.972383882105351
Vietnam,-80.62632185995578
Zambia,-67.25
