,0
Albania,102.10985915899275
Argentina,-61.0716693741083
Benin,42.470000000000006
Bolivia,-37.703246938362724
Brazil,-53.8815470868349
Cambodia,-45.937864192724234
Canada,-100.0
China,-89.92735966458916
Colombia,-33.357541657239196
Ecuador,-39.05399860501289
France,-92.67725644946097
India,-35.16570205241442
Indonesia,-24.501392097398632
Iran,-80.20796985924244
Italy,-81.60405054032803
Japan,-89.1641553156823
Laos,-75.6443496332364
Mexico,-61.416227417699986
Myanmar,-77.99023130193352
Nepal,-46.60559604912996
Nigeria,37.747814008980065
North Korea,-99.8927373685129
Paraguay,-58.84362359434366
Russia,-100.0
Rwanda,-77.9534161798656
South Africa,-61.65990764975548
South Korea,-93.39268806353212
Tanzania,-69.38
Thailand,-60.744615289270875
Türkiye,-65.2359852565825
Uganda,-18.34569879631046
Ukraine,-100.0
United States,-91.78847150802612
Uruguay,-63.21680675327778
Vietnam,-71.10699061140417
Zambia,-75.92774715274572
Zimbabwe,-64.14532917797565
