,0
Afghanistan,-47.10813805609943
Albania,-26.049461317062374
Algeria,66.10069129213691
Argentina,-45.713919595479965
Armenia,-38.084662849903104
Australia,-41.22253723144531
Austria,-84.00777965068818
Azerbaijan,-38.11217799037695
Bangladesh,0.29662711918352347
Belarus,-98.0792193120718
Belgium,-87.83601193130016
Bhutan,-87.88118958473206
Bolivia,-37.72634869493544
Bosnia and Herzegovina,8.12558011770248
Brazil,-47.31276652812958
Bulgaria,-25.56340163350106
Canada,-99.51830443292856
Chile,-83.8622926902771
China,-73.77185546159744
Colombia,-58.06018735438585
Croatia,-31.242097015380864
Czechia,-85.64405015230179
Denmark,-100.0
Ecuador,-46.0580158509314
Egypt,-65.66672599077225
Eritrea,-34.09406243801117
Estonia,-100.0
Ethiopia,-67.50439546525477
Finland,-100.0
France,-68.40509971797466
Georgia,-4.4089603711746195
Germany,-91.64597576737404
Greece,24.517093806266786
Hungary,-63.40403290748596
India,-32.09960859298706
Iran,-39.600948940515515
Iraq,-36.268448171019564
Ireland,-91.41529541015625
Israel,-15.061552176177507
Italy,-23.904096931815143
Japan,-68.80815234273672
Jordan,4.740000000000011
Kazakhstan,-77.82173024736345
Kenya,-81.77790763825179
Kyrgyz Republic,-57.645327665507786
Latvia,-100.0
Lebanon,-52.54020577073098
Lesotho,-18.56917865041644
Libya,66.11947411306001
Lithuania,-100.0
Luxembourg,-82.19778023242951
North Macedonia,-10.114059979915623
Mexico,-73.92712421417235
Moldova,-54.25224455237389
Mongolia,-99.82838667295873
Morocco,49.40382453411818
Myanmar,-36.16544499874115
Nepal,-68.07169345632195
Netherlands,-87.67887417316437
New Zealand,-65.9949136132002
Nigeria,-73.73267929792404
North Korea,-98.6953883848805
Norway,-100.0
Pakistan,-12.79239124566317
Paraguay,-18.007353407442572
Peru,-34.25813265651464
Poland,-86.91408386707306
Portugal,72.03118029061706
Romania,-47.16204437464475
Russia,-94.10574847176672
Saudi Arabia,-65.68160777807236
Serbia,-44.903223276138306
Slovakia,-59.27405852854252
Slovenia,-59.30111200928687
South Africa,-63.48991995096207
Spain,12.21946232020854
Sudan,-19.24069262564182
Sweden,-100.0
Switzerland,-82.17202269494534
Syria,-55.18854558736086
Tajikistan,-75.1374670624733
Tanzania,-59.74062921106815
Tunisia,40.85364329993726
Türkiye,-27.120699223876
Turkmenistan,-54.39636644229293
Ukraine,-69.70675868391992
United Kingdom,-91.86984407424927
United States,-70.48769853234292
Uruguay,-59.74165318131447
Uzbekistan,-74.20721105635167
Yemen,-22.319764819443222
Zambia,-84.11813917160033
